eventsName eventsLength cond1rep1 cond1rep2 cond2rep1 cond2rep2
SNV1 131 910 1687 5 70
SNV1 131 26 22 28 8569
SNV2 139 389 3349 2 149
SNV2 139 88 31 29 8821
SNV3 107 0 10 0 0
SNV3 107 3 1 13 10
SNV4 92 491 313 3 4
SNV4 92 0 90 913 341
SNV5 92 0 90 913 341
SNV5 92 1535 1187 3 78
SNV6 83 6 3 4 1
SNV6 83 0 0 0 5
SNV7 112 0 2 2221 1137
SNV7 112 170 861 25 176
SNV8 83 0 0 20 11
SNV8 83 6 11 3 1
SNV9 83 8 3 11 19
SNV9 83 2 25 0 1
SNV10 122 0 12 5 1
SNV10 122 8 0 16 21
SNV11 83 10 2 13 10
SNV11 83 2 14 0 3
SNV12 137 3 15 3 3
SNV12 137 8 0 21 24
SNV13 83 6 13 10 2
SNV13 83 7 1 17 79
SNV14 83 0 5 0 12
SNV14 83 25 17 17 4
SNV15 140 5 19 8 4
SNV15 140 6 0 40 34
SNV16 83 0 2 4 2
SNV16 83 2 4 2 2
SNV17 102 1 3 6 2
SNV17 102 3 6 1 0
SNV18 176 1 0 15 13
SNV18 176 1 13 12 1
SNV19 83 2 3 0 0
SNV19 83 3 2 4 5
SNV20 83 5 2 3 2
SNV20 83 0 1 3 9
SNV21 156 9 0 44 33
SNV21 156 4 33 11 16
SNV22 83 3 22 5 5
SNV22 83 6 3 6 0
SNV23 83 52 0 518 64
SNV23 83 120 123 205 2
SNV24 83 122 132 216 2
SNV24 83 53 0 543 64
SNV25 99 53 0 541 64
SNV25 99 100 77 154 2
SNV26 83 83 0 1168 64
SNV26 83 279 288 518 4
SNV27 83 5 9 1 6
SNV27 83 4 5 1 1
SNV28 83 5 13 19 6
SNV28 83 8 0 33 19
SNV29 126 4 2 5 4
SNV29 126 5 5 3 12
SNV30 83 3 4 7 2
SNV30 83 3 3 0 1
SNV31 177 0 4068 0 0
SNV31 177 228 678 3 1
SNV32 92 25 18 22 6
SNV32 92 1 3 12 4
SNV33 83 3 7 6 1
SNV33 83 4 4 5 1
SNV34 83 3 2 3 2
SNV34 83 9 5 3 6
SNV35 83 28 27 30 20
SNV35 83 5 4 5 13
SNV36 83 187 253 202 161
SNV36 83 22 0 34 80
SNV37 83 2 5 2 5
SNV37 83 4 5 3 4
SNV38 83 5 4 5 9
SNV38 83 9 8 14 10
SNV39 169 100 71 118 41
SNV39 169 2 16 14 21
SNV40 83 0 3 6 3
SNV40 83 14 21 13 12
SNV41 83 78 104 59 48
SNV41 83 28 34 54 66
SNV42 83 4 3 1 2
SNV42 83 16 10 11 10
SNV43 83 125 76 75 112
SNV43 83 107 127 153 66
SNV44 83 8 26 14 6
SNV44 83 4 4 2 3
SNV45 96 17 12 23 22
SNV45 96 13 12 13 5
SNV46 122 55 55 67 53
SNV46 122 11 7 8 2
SNV47 83 415 339 426 332
SNV47 83 90 125 36 112
SNV48 83 57 78 23 47
SNV48 83 181 212 250 219
SNV49 83 21 29 24 21
SNV49 83 5 5 6 1
SNV50 109 60 25 34 19
SNV50 109 34 22 25 11
SNV51 121 45 44 52 40
SNV51 121 4 5 3 4
SNV52 83 55 118 46 87
SNV52 83 298 355 347 369
SNV53 103 58 42 54 35
SNV53 103 80 42 74 59
SNV54 98 55 921 0 0
SNV54 98 12 228 0 0
SNV55 164 38 3 0 0
SNV55 164 27 2 0 0
SNV56 84 1 121 0 0
SNV56 84 0 24 0 0
SNV57 83 0 15 0 0
SNV57 83 0 7 0 0
SNV58 99 12 241 0 0
SNV58 99 4 103 0 0
SNV59 83 12 0 0 0
SNV59 83 88 0 0 0
SNV60 83 0 8 0 0
SNV60 83 0 25 0 0
SNV61 99 0 354 0 0
SNV61 99 4 3361 0 0
SNV62 83 728 0 0 0
SNV62 83 86 0 0 0
SNV63 152 10 10 10 4
SNV63 152 10 10 10 4
