eventsName eventsLength cond1rep1 cond1rep2 cond2rep1 cond2rep2
event1 261 105 41 15 26
event1 81 2 5 100 150
event2 207 20 17 60 58
event2 80 58 33 7 1
event3 268 53 26 19 29
event3 82 3 1 31 55
event4 268 50 27 17 25
event4 82 3 1 29 55
event5 172 4 9 90 135
event5 80 21 10 7 16
event6 221 26 6 7 14
event6 79 1 3 6 20
event7 316 13 22 14 13
event7 78 3 0 17 22
event8 225 22 21 2 3
event8 79 38 30 38 52
event9 239 44 41 100 136
event9 80 108 97 107 85
event10 183 12 2 6 5
event10 78 38 8 43 10
event11 1258 825 323 60 119
event11 81 96 24 190 255
event12 404 54 21 8 7
event12 82 49 23 19 41
event13 237 14 12 33 20
event13 81 22 23 17 16
event14 358 46 32 35 34
event14 81 20 16 9 31
event15 285 52 81 50 78
event15 78 10 9 34 17
event16 273 72 54 13 27
event16 82 749 392 156 189
event17 417 15 23 27 33
event17 81 38 30 47 61
event18 255 44 17 6 10
event18 82 3 1 9 2
event19 196 32 12 48 30
event19 80 0 0 6 6
event20 222 26 18 17 18
event20 82 90 59 84 60
event21 309 1 5 9 9
event21 81 73 85 211 211
event22 256 25 27 50 25
event22 82 0 1 5 6
event23 281 77 73 100 53
event23 80 2 10 16 17
event24 254 30 21 20 35
event24 80 445 146 263 387
event25 339 176 218 186 192
event25 78 40 29 6 4
event26 380 53 34 23 33
event26 82 4 6 7 12
event27 167 32 26 45 79
event27 82 7 5 17 39
event28 224 105 49 37 74
event28 79 199 108 85 139
event29 797 145 85 187 124
event29 81 42 34 34 14
event30 217 16 20 25 21
event30 81 1 1 6 3
event31 378 33 13 9 9
event31 79 445 198 141 214
event32 254 27 34 63 28
event32 82 3 0 5 0
event33 233 113 100 102 69
event33 79 0 4 1 2
event34 233 23 33 33 25
event34 81 269 187 197 233
event35 225 158 112 23 41
event35 81 485 530 78 143
event36 228 135 97 45 46
event36 82 9 6 3 3
event37 255 3 3 9 5
event37 81 23 16 51 46
event38 270 17 24 13 20
event38 80 129 145 120 101
event39 262 123 86 45 62
event39 80 27 7 9 7
event40 234 68 44 15 17
event40 79 72 34 14 14
event41 318 55 49 23 21
event41 82 5 8 9 7
event42 262 192 201 215 275
event42 80 6 0 4 2
event43 261 147 112 75 82
event43 78 32 26 15 21
event44 1149 92 52 16 30
event44 80 25 3 0 5
event45 261 30 26 63 53
event45 81 42 33 74 87
event46 2304 40 32 16 23
event46 78 327 377 195 195
event47 284 145 122 91 147
event47 79 13 11 11 8
event48 224 285 329 116 148
event48 80 126 162 60 66
event49 422 197 136 168 148
event49 81 110 60 29 34
event50 300 127 96 121 72
event50 82 4 5 5 3
event51 277 24 24 32 36
event51 80 59 106 94 116
event52 264 10 9 1 3
event52 81 503 231 134 175
event53 339 24 21 65 62
event53 81 0 3 11 9
event54 240 560 555 303 316
event54 81 15 15 4 13
event55 284 293 238 204 147
event55 81 6 8 6 3
event56 333 923 457 372 373
event56 80 35 24 17 16
event57 209 239 272 370 379
event57 79 9 2 2 10
event58 212 2 6 6 9
event58 82 115 97 151 124
event59 268 90 88 78 51
event59 78 3 5 4 1
event60 232 285 316 414 438
event60 79 22 26 39 29
event61 234 140 91 166 142
event61 78 5 4 5 8
event62 1070 14 22 76 65
event62 81 4 1 3 4
event63 340 47 30 35 49
event63 79 617 455 597 580
event64 288 902 662 709 910
event64 78 132 77 86 131
event65 266 350 186 98 151
event65 81 8 5 2 4
event66 290 12 11 10 4
event66 82 411 331 258 248
event67 1178 204 78 199 312
event67 79 5 18 20 32
event68 309 186 139 97 108
event68 80 1032 714 515 579
event69 326 324 177 64 88
event69 81 21 5 3 4
event70 273 600 449 335 343
event70 80 29 26 18 19
event71 303 273 278 292 375
event71 81 1 5 1 4
event72 264 83 64 29 28
event72 79 749 822 370 380
event73 251 9 4 9 9
event73 82 160 140 214 203
event74 242 287 238 369 193
event74 80 1 5 7 3
event75 252 188 164 238 256
event75 82 2 2 1 6
event76 332 261 164 209 360
event76 78 8 4 5 7
event77 224 515 365 300 486
event77 81 42 21 25 27
event78 236 1366 1802 1684 1084
event78 82 40 33 37 33
event79 377 439 286 211 286
event79 79 11 19 11 9
event80 368 413 315 265 315
event80 82 13 20 11 20
event81 364 151 232 99 72
event81 81 4 8 4 1
event82 253 399 360 292 257
event82 82 10 17 9 13
event83 344 278 223 312 396
event83 80 4 4 2 7
event84 257 1184 944 587 566
event84 82 329 294 152 191
event85 278 222 179 328 222
event85 78 5 3 5 6
event86 494 108 100 153 142
event86 80 7 4 4 10
event87 278 654 410 336 317
event87 82 8 1 2 0
event88 204 64 51 15 13
event88 82 806 551 139 192
event89 228 701 435 174 193
event89 81 24 8 6 4
event90 380 446 441 310 237
event90 80 12 8 8 5
event91 213 675 325 267 369
event91 78 22 10 6 13
event92 257 10137 4561 1517 1411
event92 80 975 392 134 132
event93 279 321 198 231 214
event93 81 7 2 7 2
event94 703 505 391 238 269
event94 82 16 13 9 8
event95 332 883 676 332 701
event95 79 29 16 9 14
event96 530 110 74 32 51
event96 79 19 24 13 43
event97 424 0 1 338 308
event97 81 0 0 5 8
event98 362 313 371 643 488
event98 80 5 2 10 8
event99 236 6918 6030 4301 3769
event99 82 351 282 237 152
event100 356 1032 666 252 347
event100 81 25 25 9 10
event101 944 1002 547 72 98
event101 82 26 18 2 4
event102 257 797 464 893 1386
event102 78 20 21 29 38
event103 267 15 7 8 2
event103 81 147 149 106 50
event104 232 5056 2732 1111 1185
event104 82 49 21 9 9
event105 234 1201 933 358 584
event105 79 52 33 16 22
