#1.Gene_Id	2.Gene_name	3.Chromosome_and_genomic_position	4.Strand	5.Event_type	6.Variable_part_length	7.Frameshift_?	8.CDS_?	9.Gene_biotype	10.number_of_known_splice_sites/number_of_SNPs	11.genomic_blocs_size_(upper_path)	12.genomic_position_of_each_splice_site_(upper_path)/of_each_SNP	13.paralogs_?	14.Complex_event_?	15.snp_in_variable_region	16.Event_name	17.genomic_blocs_size_(lower_path)	18.genomic_position_of_each_splice_site_(lower_path)	19.Psi_for_each_replicate	20.Read_coverage(upper_path)	21.Read_coverage(lower_path)	22.Canonical_sites?
ENSG00000066651.18	TRMT11	6:125999573-126008430	+	ES	110	False	True	protein_coding	3_ss_annotated_(over_4_ss):125999613,126006954,126008392	41,110,39	125999613,126006845,126006954,126008392	regular	0	False	bcc_162707|Cycle_0	41,39	125999613,126008392	psi1+2:0.07,psi3+4:0.08,psi5+6:0.07,psi7+8:0.11	AS1_7|SB1_0|S1_2|ASSB1_0|AS2_8|SB2_2|S2_4|ASSB2_0|AS3_11|SB3_3|S3_1|ASSB3_0|AS4_9|SB4_1|S4_4|ASSB4_0|AS5_1|SB5_0|S5_1|ASSB5_0|AS6_10|SB6_2|S6_5|ASSB6_0|AS7_5|SB7_0|S7_2|ASSB7_0|AS8_9|SB8_6|S8_5|ASSB8_0	AB1_41|AB2_88|AB3_57|AB4_88|AB5_67|AB6_53|AB7_40|AB8_61	-
ENSG00000124074.11	ENKD1	16:67663517-67666111	-	ES	164	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,164,41	67663556,67663657,67663820,67666071	regular	0	False	bcc_132936|Cycle_3	40,41	67663556,67666071	psi1+2:0.91,psi3+4:0.97,psi5+6:NaN,psi7+8:NaN	AS1_4|SB1_31|S1_105|ASSB1_0|AS2_0|SB2_289|S2_140|ASSB2_0|AS3_7|SB3_45|S3_85|ASSB3_0|AS4_3|SB4_122|S4_135|ASSB4_0|AS5_3|SB5_32|S5_38|ASSB5_0|AS6_4|SB6_25|S6_60|ASSB6_0|AS7_4|SB7_48|S7_57|ASSB7_0|AS8_0|SB8_36|S8_108|ASSB8_0	AB1_2|AB2_19|AB3_1|AB4_4|AB5_0|AB6_3|AB7_3|AB8_1	-
ENSG00000112146.16	FBXO9	6:53065752-53071096	+	ES	102	True	False	protein_coding	all_splice_sites_known_(4_ss)	41,102,40	53065792,53067905,53068006,53071057	regular	0	False	bcc_100903|Cycle_0	41,40	53065792,53071057	psi1+2:0.01,psi3+4:NaN,psi5+6:NaN,psi7+8:NaN	AS1_1|SB1_2|S1_0|ASSB1_0|AS2_6|SB2_1|S2_1|ASSB2_0|AS3_0|SB3_5|S3_0|ASSB3_0|AS4_3|SB4_1|S4_1|ASSB4_0|AS5_0|SB5_0|S5_0|ASSB5_0|AS6_0|SB6_1|S6_1|ASSB6_0|AS7_0|SB7_1|S7_1|ASSB7_0|AS8_1|SB8_1|S8_1|ASSB8_0	AB1_54|AB2_449|AB3_32|AB4_199|AB5_36|AB6_98|AB7_66|AB8_109	-
ENSG00000142856.16	ITGB3BP	1:63478793-63508568	-	ES	136	False	True	protein_coding	all_splice_sites_known_(4_ss)	41,136,41	63478833,63490083,63490218,63508528	regular	0	False	bcc_19522|Cycle_0	41,41	63478833,63508528	psi1+2:NaN,psi3+4:0.9,psi5+6:0.94,psi7+8:NaN	AS1_87|SB1_7|S1_36|ASSB1_0|AS2_14|SB2_19|S2_17|ASSB2_0|AS3_74|SB3_4|S3_5|ASSB3_0|AS4_11|SB4_7|S4_12|ASSB4_0|AS5_29|SB5_47|S5_48|ASSB5_0|AS6_7|SB6_38|S6_17|ASSB6_0|AS7_15|SB7_24|S7_34|ASSB7_0|AS8_8|SB8_25|S8_16|ASSB8_0	AB1_2|AB2_2|AB3_1|AB4_4|AB5_4|AB6_1|AB7_2|AB8_1	-
ENSG00000198910.13	L1CAM	X:153862856-153863517	-	ES	12	True	True	protein_coding	all_splice_sites_known_(4_ss)	39,12,41	153862894,153863368,153863379,153863477	regular	0	False	bcc_144389|Cycle_0	39,41	153862894,153863477	psi1+2:NaN,psi3+4:0.44,psi5+6:0.92,psi7+8:0.88	AS1_4|SB1_0|S1_0|ASSB1_0|AS2_0|SB2_0|S2_0|ASSB2_0|AS3_3|SB3_3|S3_0|ASSB3_3|AS4_4|SB4_4|S4_0|ASSB4_2|AS5_32|SB5_33|S5_0|ASSB5_31|AS6_50|SB6_51|S6_0|ASSB6_45|AS7_75|SB7_74|S7_0|ASSB7_68|AS8_47|SB8_47|S8_0|ASSB8_40	AB1_9|AB2_12|AB3_7|AB4_3|AB5_3|AB6_4|AB7_8|AB8_8	-
ENSG00000169032.9	MAP2K1	15:66436853-66444696	+	ES	78	True	True	protein_coding	all_splice_sites_known_(4_ss)	40,78,41	66436892,66443280,66443357,66444656	regular	0	False	bcc_98956|Cycle_0	40,41	66436892,66444656	psi1+2:0.95,psi3+4:0.95,psi5+6:NaN,psi7+8:0.93	AS1_138|SB1_138|S1_4|ASSB1_0|AS2_146|SB2_138|S2_14|ASSB2_0|AS3_122|SB3_137|S3_8|ASSB3_0|AS4_134|SB4_162|S4_7|ASSB4_0|AS5_92|SB5_72|S5_7|ASSB5_0|AS6_79|SB6_60|S6_6|ASSB6_0|AS7_64|SB7_111|S7_4|ASSB7_0|AS8_88|SB8_53|S8_7|ASSB8_0	AB1_13|AB2_2|AB3_15|AB4_0|AB5_3|AB6_1|AB7_5|AB8_8	-
ENSG00000125814.17	NAPB	20:23394961-23403033	-	ES	47	False	True	protein_coding	all_splice_sites_known_(4_ss)	39,47,41	23394999,23395139,23395185,23402993	regular	0	False	bcc_161433|Cycle_2	39,41	23394999,23402993	psi1+2:0.19,psi3+4:0.25,psi5+6:0.85,psi7+8:NaN	AS1_11|SB1_0|S1_0|ASSB1_0|AS2_9|SB2_0|S2_0|ASSB2_0|AS3_9|SB3_0|S3_0|ASSB3_0|AS4_8|SB4_0|S4_0|ASSB4_0|AS5_43|SB5_3|S5_0|ASSB5_0|AS6_11|SB6_4|S6_0|ASSB6_1|AS7_40|SB7_1|S7_0|ASSB7_0|AS8_15|SB8_4|S8_0|ASSB8_2	AB1_51|AB2_7|AB3_26|AB4_7|AB5_4|AB6_3|AB7_1|AB8_0	-
ENSG00000143353.11	LYPLAL1	1:219179206-219193166	+	ES	27	True	False	protein_coding	all_splice_sites_known_(4_ss)	41,27,37	219179246,219179400,219179426,219193130	regular	0	False	bcc_12586|Cycle_17	41,37	219179246,219193130	psi1+2:0.2,psi3+4:NaN,psi5+6:NaN,psi7+8:NaN	AS1_6|SB1_3|S1_0|ASSB1_2|AS2_3|SB2_2|S2_0|ASSB2_0|AS3_1|SB3_0|S3_0|ASSB3_0|AS4_1|SB4_0|S4_0|ASSB4_0|AS5_0|SB5_2|S5_0|ASSB5_0|AS6_4|SB6_1|S6_0|ASSB6_1|AS7_3|SB7_3|S7_0|ASSB7_2|AS8_1|SB8_0|S8_0|ASSB8_0	AB1_34|AB2_4|AB3_4|AB4_4|AB5_36|AB6_7|AB7_7|AB8_3	-
ENSG00000172671.19	ZFAND4	10:45618221-45625991	-	ES	55	False	True	protein_coding	all_splice_sites_known_(4_ss)	40,55,41	45618260,45624583,45624637,45625951	regular	0	False	bcc_67561|Cycle_3	40,41	45618260,45625951	psi1+2:NaN,psi3+4:NaN,psi5+6:0.72,psi7+8:NaN	AS1_5|SB1_5|S1_0|ASSB1_0|AS2_4|SB2_2|S2_0|ASSB2_0|AS3_5|SB3_6|S3_0|ASSB3_0|AS4_3|SB4_7|S4_0|ASSB4_1|AS5_4|SB5_12|S5_0|ASSB5_0|AS6_4|SB6_5|S6_0|ASSB6_0|AS7_8|SB7_7|S7_0|ASSB7_3|AS8_5|SB8_4|S8_0|ASSB8_0	AB1_1|AB2_0|AB3_1|AB4_0|AB5_4|AB6_2|AB7_2|AB8_1	-
ENSG00000131797.12	KIAA0664L3	16:31700698-31702574	+	ES	196	False	False	transcribed_unprocessed_pseudogene	all_splice_sites_known_(4_ss)	41,196,40	31700738,31701663,31701858,31702535	regular	0	False	bcc_94995|Cycle_6	41,40	31700738,31702535	psi1+2:0.56,psi3+4:0.62,psi5+6:0.73,psi7+8:0.38	AS1_12|SB1_0|S1_14|ASSB1_0|AS2_24|SB2_10|S2_19|ASSB2_0|AS3_5|SB3_0|S3_26|ASSB3_0|AS4_23|SB4_4|S4_25|ASSB4_0|AS5_12|SB5_3|S5_17|ASSB5_0|AS6_18|SB6_2|S6_24|ASSB6_0|AS7_12|SB7_12|S7_6|ASSB7_0|AS8_9|SB8_1|S8_20|ASSB8_0	AB1_0|AB2_20|AB3_2|AB4_14|AB5_3|AB6_6|AB7_26|AB8_5	-
